Plate,Experiment,Hour,Magnification,Well,Student,Animal,Length,Width,Radius,Volume,Area
p72,growth,72,2X,A05,Hannah,81,1452.7654338,78.5679198,39.2839599,649243.797268848,109116.41794754252
p72,growth,72,2X,A05,Hannah,82,1349.0171775,82.540122,41.270061,665379.6195970776,106465.15254817657
p72,growth,72,2X,A05,Hannah,83,1414.0644588,73.6504257,36.82521285,555317.7193881324,99568.21061670415
p72,growth,72,2X,A05,Hannah,84,1452.6830913,79.0488,39.5244,657178.3479775954,109778.06379228766
p72,growth,72,2X,A05,Hannah,85,1448.0323869,71.10110189999999,35.550550949999995,529971.7739299486,98425.39486763105
p72,growth,72,2X,A06,Hannah,86,1444.8704349,71.2526121,35.62630605,531070.6329055215,98420.23791935564
p72,growth,72,2X,A06,Hannah,87,1405.5733002,79.5955542,39.7977771,644692.9521968253,106960.79953726227
p72,growth,72,2X,A06,Hannah,88,1427.6839083,70.4884737,35.24423685,513558.687089032,96209.23862083862
p72,growth,72,2X,A06,Hannah,89,1483.4725988999999,69.8692581,34.93462905,524292.4384600787,99081.97912632646
p72,growth,72,2X,A06,Hannah,90,1454.7581222999997,78.291249,39.1456245,645563.6010349073,108880.97831827846
p72,growth,72,2X,A09,Hannah,91,1370.1232071,88.9924803,44.49624015,785575.709721545,116579.3241857047
p72,growth,72,2X,A09,Hannah,92,1378.1038422,78.0837459,39.04187295,608310.0958573758,102883.36289381348
p72,growth,72,2X,A09,Hannah,93,1365.8446908,78.291249,39.1456245,606107.3683185289,102241.30937147517
p72,growth,72,2X,A09,Hannah,94,1405.1550003,70.7190327,35.35951635,508766.6771089776,95004.2815405375
p72,growth,72,2X,A09,Hannah,95,1417.4503823999999,76.8914265,38.44571325,606716.0771783397,104198.05366798241
p72,growth,72,2X,A11,Hannah,96,1372.2015317999999,79.33535189999999,39.667675949999996,625278.0832946779,104085.8455437246
p72,growth,72,2X,A11,Hannah,97,1387.9849422,70.9495917,35.47479585,505832.0665980411,94152.06543200462
p72,growth,72,2X,A11,Hannah,98,1415.1480861,86.45633129999999,43.228165649999994,765803.4093040382,116969.90907106455
p72,growth,72,2X,A11,Hannah,99,1392.741045,72.53715509999999,36.268577549999996,530533.9904582197,96587.86774653631
p72,growth,72,2X,A11,Hannah,100,1428.5139207,72.53715509999999,36.268577549999996,544160.8786463874,99062.89625094856
p02,growth,02,2X,A02,Hannah,101,281.0448336,13.201149599999999,6.6005747999999995,3545.85451927573,3580.2495999473404
p02,growth,02,2X,A02,Hannah,102,279.7108851,15.536382899999998,7.768191449999999,4887.99779544885,4193.8145369004205
p02,growth,02,2X,A02,Hannah,103,291.5978484,15.645074999999999,7.822537499999999,5167.27310405167,4400.538329781004
p02,growth,02,2X,A02,Hannah,104,276.4698843,16.896680999999997,8.448340499999999,5714.4237533464775,4508.773524647391
p02,growth,02,2X,A02,Hannah,105,283.6732062,12.568759199999999,6.284379599999999,3244.329314796711,3440.2504024864434
p02,growth,02,2X,A05,Hannah,106,289.66444649999994,19.7622,9.8811,8190.069274174982,5522.130965122094
p02,growth,02,2X,A05,Hannah,107,273.2091213,12.5193537,6.25967685,3100.1364907528323,3301.7737411852318
p02,growth,02,2X,A05,Hannah,108,270.9298809,19.1726277,9.58631385,7210.111585444216,5014.784440270979
p02,growth,02,2X,A05,Hannah,109,272.0760885,19.5481095,9.77405475,7526.996312730249,5134.366746635859
p02,growth,02,2X,A05,Hannah,110,285.0203295,17.7036375,8.85181875,6467.294776548679,4868.48814889688
p02,growth,02,2X,A06,Hannah,111,293.1458874,19.7918433,9.89592165,8313.388859798393,5596.136211924258
p02,growth,02,2X,A06,Hannah,112,269.0821152,21.791119199999997,10.895559599999999,9250.510647871533,5661.270578076583
p02,growth,02,2X,A06,Hannah,113,252.18214049999997,17.8716162,8.9358081,5831.278542879154,4354.913154511976
p02,growth,02,2X,A06,Hannah,114,290.9094651,14.314420199999999,7.1572100999999995,4315.460811157578,4016.8622183048938
p02,growth,02,2X,A06,Hannah,115,266.9675598,17.8716162,8.9358081,6173.165950689309,4606.949577519831
p02,growth,02,2X,A07,Hannah,116,303.3135393,12.861898499999999,6.430949249999999,3632.6516583226635,3761.4328722896885
p02,growth,02,2X,A07,Hannah,117,308.0103555,20.3715345,10.18576725,9254.108930521648,6048.871451500484
p02,growth,02,2X,A07,Hannah,118,316.1359134,17.8716162,8.9358081,7310.099616046849,5445.087185597634
p02,growth,02,2X,A07,Hannah,119,293.3468031,15.4112223,7.70561115,5044.0261724851425,4360.470642760641
p02,growth,02,2X,A07,Hannah,120,296.3144268,14.772244500000001,7.3861222500000006,4681.311847777879,4221.491405146397
p02,growth,02,2X,A11,Hannah,121,261.9117303,13.6128621,6.80643105,3513.7886982351456,3443.4809944829053
p02,growth,02,2X,A11,Hannah,122,259.58967179999996,17.621294999999996,8.810647499999998,5835.591120161901,4418.417712348198
p02,growth,02,2X,A11,Hannah,123,304.10732099999996,18.955243499999998,9.477621749999999,7910.563346740882,5557.769182304108
p02,growth,02,2X,A11,Hannah,124,292.2862317,15.612138,7.806069,5157.686286525814,4401.524856972368
p02,growth,02,2X,A11,Hannah,125,264.16791479999995,11.7486279,5.87431395,2639.831265066357,2997.191169364888
p03,growth,03,2X,A02,Hannah,126,266.3812812,26.553809399999995,13.276904699999998,13598.129487092408,6830.198472626368
p03,growth,03,2X,A02,Hannah,127,294.6412272,14.729426400000001,7.364713200000001,4627.9321786957025,4185.748078427883
p03,growth,03,2X,A02,Hannah,128,316.6299684,14.729426400000001,7.364713200000001,4973.309517554722,4494.672352899279
p03,growth,03,2X,A02,Hannah,129,307.6249926,19.831367699999998,9.915683849999999,8758.883542748128,5881.191660706672
p03,growth,03,2X,A02,Hannah,130,306.93990299999996,18.777383699999998,9.388691849999999,7835.113912032264,5556.351993672588
p03,growth,03,2X,A04,Hannah,131,278.0739162,20.8590021,10.42950105,8759.294146136885,5598.007447263948
p03,growth,03,2X,A04,Hannah,132,268.8581436,18.2734476,9.1367238,6499.590298701402,4743.485809991435
p03,growth,03,2X,A04,Hannah,133,299.1074844,16.5047307,8.25236535,5898.831179369191,4760.556931472287
p03,growth,03,2X,A04,Hannah,134,305.7574647,20.9742816,10.4871408,9738.073753272985,6182.773147275935
p03,growth,03,2X,A04,Hannah,135,253.01215289999996,17.5653021,8.78265105,5651.639226911298,4294.177381366251
p03,growth,03,2X,A08,Hannah,136,292.7045316,14.9336358,7.4668179,4725.876401568816,4216.193213991169
p03,growth,03,2X,A08,Hannah,137,296.7261393,15.984326099999999,7.992163049999999,5488.659256437668,4574.147217288169
p03,growth,03,2X,A08,Hannah,138,282.88601189999997,14.6470839,7.32354195,4393.752741374174,3998.1201780345673
p03,growth,03,2X,A08,Hannah,139,300.8959635,15.720830099999999,7.860415049999999,5383.802401365111,4561.269777989808
p03,growth,03,2X,A08,Hannah,140,288.6038751,19.7622,9.8811,8160.082324305356,5502.139665209009
p03,growth,03,2X,A09,Hannah,141,262.0665342,21.40905,10.704525,8696.172778903967,5418.749455064316
p03,growth,03,2X,A09,Hannah,142,329.3601189,20.9611068,10.4805534,10476.62102015813,6650.779618755695
p03,growth,03,2X,A09,Hannah,143,283.41959130000004,15.536382899999998,7.768191449999999,4952.808100285884,4248.773455566551
p03,growth,03,2X,A09,Hannah,144,297.07856519999996,16.4685,8.23425,5833.123987320727,4718.236508472225
p03,growth,03,2X,A09,Hannah,145,293.99895569999995,21.4716303,10.73581515,9812.905831953822,6088.5662262757305
p03,growth,03,2X,A10,Hannah,146,294.80591219999997,25.776496199999997,12.888248099999998,14180.964092494167,7329.108099803656
p03,growth,03,2X,A10,Hannah,147,318.3525735,26.3496,13.1748,16002.145698544073,8083.852559057066
p03,growth,03,2X,A10,Hannah,148,291.7032468,15.9876198,7.9938099,5397.972757365443,4498.4942093203435
p03,growth,03,2X,A10,Hannah,149,285.662601,17.193113999999998,8.596556999999999,6113.420565104629,4738.627220485022
p03,growth,03,2X,A10,Hannah,150,267.77781,16.6727094,8.3363547,5389.007008519242,4310.780290461097
p04,growth,04,2X,A02,Hannah,151,310.26654,14.913873599999999,7.456936799999999,4996.175211767029,4460.435658288708
p04,growth,04,2X,A02,Hannah,152,325.3912104,19.795136999999997,9.897568499999998,9230.912680467938,6205.89054014934
p04,growth,04,2X,A02,Hannah,153,255.95342699999998,18.2273358,9.1136679,6156.432749062992,4507.160044629044
p04,growth,04,2X,A02,Hannah,154,322.8320055,17.370973799999998,8.685486899999999,7052.558809805659,5403.4984317574335
p04,growth,04,2X,A02,Hannah,155,314.98970579999997,18.1351122,9.0675561,7499.954977166905,5505.541952671029
p04,growth,04,2X,A03,Hannah,156,293.9890746,18.6653979,9.33269895,7415.279031374697,5292.645804552425
p04,growth,04,2X,A03,Hannah,157,275.51141759999996,18.6653979,9.33269895,6949.21755379272,4963.680583037002
p04,growth,04,2X,A03,Hannah,158,318.8696844,17.7365745,8.86828725,7262.305739831162,5450.191465282687
p04,growth,04,2X,A03,Hannah,159,293.3072787,18.6653979,9.33269895,7398.082110544133,5280.507515630199
p04,growth,04,2X,A03,Hannah,160,291.76253339999994,20.8590021,10.42950105,9190.48390369196,5870.352154388582
p04,growth,04,2X,A05,Hannah,161,290.207907,20.0355771,10.01778855,8434.022501144485,5608.906141074535
p04,growth,04,2X,A05,Hannah,162,308.8074309,18.411783,9.2058915,7578.813838611525,5480.964925869911
p04,growth,04,2X,A05,Hannah,163,310.4905116,18.11535,9.057675,7376.724996279967,5421.801956862638
p04,growth,04,2X,A05,Hannah,164,333.6814533,18.11535,9.057675,7927.702217593745,5822.512663272658
p04,growth,04,2X,A05,Hannah,165,297.2794809,14.729426400000001,7.364713200000001,4669.371251258027,4222.813438501519
p04,growth,04,2X,A07,Hannah,166,323.7641226,21.4716303,10.73581515,10806.388203912089,6698.158109667826
p04,growth,04,2X,A07,Hannah,167,335.63461739999997,20.1014511,10.05072555,9818.459859226796,6498.320067564189
p04,growth,04,2X,A07,Hannah,168,303.9031116,18.955243499999998,9.477621749999999,7905.251368754332,5554.077103773058
p04,growth,04,2X,A07,Hannah,169,314.3869587,17.370973799999998,8.685486899999999,6868.069080801509,5263.574481052731
p04,growth,04,2X,A07,Hannah,170,304.0908525,19.7786685,9.88933425,8612.30220877421,5798.890697025721
p04,growth,04,2X,A08,Hannah,171,320.4638352,18.632460899999998,9.316230449999999,8054.549682870075,5753.815561885824
p04,growth,04,2X,A08,Hannah,172,322.6475583,18.2734476,9.1367238,7799.938330848369,5681.011427977713
p04,growth,04,2X,A08,Hannah,173,275.9659482,21.9590979,10.97954895,9633.992165922704,5849.092834881009
p04,growth,04,2X,A08,Hannah,174,305.7772269,21.652783799999998,10.826391899999999,10378.973869874615,6383.189343567636
p04,growth,04,2X,A08,Hannah,175,286.89115109999995,20.888645399999998,10.444322699999999,9062.739771180928,5781.637346361239
p05,growth,05,2X,A01,Hannah,176,319.9994235,23.7080526,11.8540263,13021.552369620666,7310.686861951136
p05,growth,05,2X,A01,Hannah,177,314.6208114,19.831367699999998,9.915683849999999,8958.072697171105,6013.5212766661325
p05,growth,05,2X,A01,Hannah,178,311.38969169999996,18.1351122,9.0675561,7414.238069058456,5443.270315832345
p05,growth,05,2X,A01,Hannah,179,308.0235303,19.6403331,9.82016655,8602.078354264382,5832.004360703494
p05,growth,05,2X,A01,Hannah,180,323.2931235,17.6015328,8.8007664,7251.356341844476,5482.95877865472
p05,growth,05,2X,A03,Hannah,181,310.167729,19.2220332,9.6110166,8296.92296964003,5747.106763086005
p05,growth,05,2X,A03,Hannah,182,309.9009393,19.6403331,9.82016655,8654.508177743362,5867.174458626673
p05,growth,05,2X,A03,Hannah,183,314.12346269999995,21.738419999999998,10.869209999999999,10746.774314222343,6581.489814646798
p05,growth,05,2X,A03,Hannah,184,322.12386,15.536382899999998,7.768191449999999,5629.172125276987,4822.3278545414105
p05,growth,05,2X,A03,Hannah,185,304.4301036,15.1378452,7.5689226,5050.536532450182,4443.150095969657
p05,growth,05,2X,A06,Hannah,186,299.30181269999997,18.7938522,9.3969261,7653.547169322238,5424.30527737132
p05,growth,05,2X,A06,Hannah,187,301.6172838,20.420939999999998,10.210469999999999,9106.038559054981,5939.017861570481
p05,growth,05,2X,A06,Hannah,188,319.88743769999996,21.204840599999997,10.602420299999999,10413.315130034818,6536.523855596642
p05,growth,05,2X,A06,Hannah,189,320.55605879999996,20.183793599999998,10.091896799999999,9454.343656980935,6234.65185363589
p05,growth,05,2X,A06,Hannah,190,322.29183869999997,20.243080199999998,10.121540099999999,9561.461955667077,6286.47996089824
p05,growth,05,2X,A07,Hannah,191,320.1641085,19.4229489,9.71147445,8744.294610514075,5992.370264061349
p05,growth,05,2X,A07,Hannah,192,311.96938289999997,16.722114899999998,8.361057449999999,6315.622772678511,5028.4038961929255
p05,growth,05,2X,A07,Hannah,193,297.58579499999996,17.6015328,8.8007664,6674.74958469409,5051.366894560119
p05,growth,05,2X,A07,Hannah,194,300.41178959999996,19.1726277,9.58631385,7994.697806693607,5553.926320531684
p05,growth,05,2X,A07,Hannah,195,324.9103302,13.402065299999999,6.701032649999999,4225.020111727227,4195.478233160217
p05,growth,05,2X,A08,Hannah,196,309.48593309999995,15.3716979,7.68584895,5294.273794578572,4585.91646391671
p05,growth,05,2X,A08,Hannah,197,325.0486656,18.6653979,9.33269895,8198.694313655988,5845.6122998983155
p05,growth,05,2X,A08,Hannah,198,324.6468342,20.9742816,10.4871408,10339.68154565937,6560.667489227182
p05,growth,05,2X,A08,Hannah,199,293.08989449999996,25.0354137,12.51770685,13299.404370391647,7077.416692278722
p05,growth,05,2X,A08,Hannah,200,308.6460396,20.888645399999998,10.444322699999999,9749.96519612209,6215.081322987643
p06,growth,06,2X,A03,Hannah,201,282.96176699999995,23.648766,11.824383,11456.884336815825,6456.960158231688
p06,growth,06,2X,A03,Hannah,202,317.578554,16.3202835,8.16014175,6123.9038871461435,4994.887333320166
p06,growth,06,2X,A03,Hannah,203,266.45703629999997,17.6015328,8.8007664,5976.541966266378,4528.756401725006
p06,growth,06,2X,A03,Hannah,204,324.77199479999996,22.2489435,11.12447175,11639.093604421729,6962.032486463343
p06,growth,06,2X,A03,Hannah,205,309.3278355,19.917003899999997,9.958501949999999,8883.596436492495,5938.937203090761
p06,growth,06,2X,A05,Hannah,206,297.0423345,25.0848192,12.5424096,13532.003502837957,7185.950980584025
p06,growth,06,2X,A05,Hannah,207,273.0016182,16.303815,8.1519075,5253.702791124726,4296.636342297953
p06,growth,06,2X,A05,Hannah,208,310.26654,15.9019836,7.9509918,5680.14401251076,4755.959222221264
p06,growth,06,2X,A05,Hannah,209,296.0114064,15.839403299999999,7.9197016499999995,5376.601908258201,4521.87732506216
p06,growth,06,2X,A05,Hannah,210,303.0204,19.7622,9.8811,8567.699962750565,5773.884757505815
p06,growth,06,2X,A07,Hannah,211,288.2942673,15.9876198,7.9938099,5334.889542923082,4446.509689796354
p06,growth,06,2X,A07,Hannah,212,302.6943237,20.783247,10.3916235,9465.70306562261,6065.7381795304145
p06,growth,06,2X,A07,Hannah,213,328.41482699999995,16.9757298,8.4878649,6851.749327681877,5370.947690801126
p06,growth,06,2X,A07,Hannah,214,316.3500039,15.536382899999998,7.768191449999999,5528.272956201214,4736.765701413768
p06,growth,06,2X,A07,Hannah,215,318.4876152,15.536382899999998,7.768191449999999,5565.628096378154,4768.4427335756845
p06,growth,06,2X,A06,Hannah,216,287.3390943,16.7945763,8.39728815,5867.520610879371,4655.6411926208175
p06,growth,06,2X,A06,Hannah,217,295.8039033,18.5171814,9.2585907,7343.032736463604,5282.672008439266
p06,growth,06,2X,A06,Hannah,218,273.26511419999997,17.446728899999997,8.723364449999998,6021.906654043872,4602.219731157062
p06,growth,06,2X,A06,Hannah,219,300.0758322,16.4685,8.23425,5891.975187246021,4765.317468412461
p06,growth,06,2X,A06,Hannah,220,310.50698009999996,26.0103489,13.00517445,15208.469978659712,7785.130397485881
p06,growth,06,2X,A10,Hannah,221,283.07704649999994,16.695765299999998,8.347882649999999,5712.669767821509,4560.377723142236
p06,growth,06,2X,A10,Hannah,222,323.0493897,20.3781219,10.18906095,9712.231783036068,6343.141647847186
p06,growth,06,2X,A10,Hannah,223,331.01685,16.4882622,8.2441311,6515.10881193377,5257.639444895201
p06,growth,06,2X,A10,Hannah,224,321.9624687,18.576468,9.288234,8043.65320469981,5763.078280291928
p06,growth,06,2X,A10,Hannah,225,325.82597880000003,14.5680351,7.28401755,5006.214671839884,4573.204925504222
p07,growth,07,2X,A02,Hannah,226,337.7491728,18.7938522,9.3969261,8636.69752650438,6113.509874064024
p07,growth,07,2X,A02,Hannah,227,327.7066815,18.191105099999998,9.095552549999999,7851.005181203551,5743.192990144687
p07,growth,07,2X,A02,Hannah,228,291.55173659999997,22.169894699999997,11.084947349999998,10374.440758768647,6234.8193376837135
p07,growth,07,2X,A02,Hannah,229,330.31858559999995,19.2747324,9.6373662,8884.470026593717,6133.328495502497
p07,growth,07,2X,A02,Hannah,230,343.13107859999997,17.291925,8.6459625,7427.942678201764,5713.709082223961
p07,growth,07,2X,A06,Hannah,231,319.3736205,18.8893695,9.44468475,8250.034552213447,5813.5080416542
p07,growth,07,2X,A06,Hannah,232,295.5700506,20.9742816,10.4871408,9413.614659663379,5978.9671839533175
p07,growth,07,2X,A06,Hannah,233,308.40230579999997,25.3483152,12.6741576,14346.224273988464,7536.091603676225
p07,growth,07,2X,A06,Hannah,234,318.6292443,23.263403099999998,11.631701549999999,12484.004812267634,7143.170395524731
p07,growth,07,2X,A06,Hannah,235,310.9219863,20.9742816,10.4871408,9902.55867366738,6286.092820890505
p07,growth,07,2X,A07,Hannah,236,304.60796339999996,22.588194599999998,11.294097299999999,11251.906013738146,6633.754398623917
p07,growth,07,2X,A07,Hannah,237,314.7393846,19.469060699999996,9.734530349999998,8636.999438939054,5905.859807273337
p07,growth,07,2X,A07,Hannah,238,321.98552459999996,20.4966951,10.24834755,9793.22722039398,6359.251479600695
p07,growth,07,2X,A07,Hannah,239,326.01371969999997,17.2293447,8.61467235,7006.404364356643,5411.729849496644
p07,growth,07,2X,A07,Hannah,240,308.2837326,20.453877,10.2269385,9337.351122590631,6078.654608072085
p07,growth,07,2X,A10,Hannah,241,329.09332919999997,21.6264342,10.8132171,11143.220318880947,6856.379045880657
p07,growth,07,2X,A10,Hannah,242,307.96094999999997,17.9243154,8.9621577,7163.126270895759,5321.379821429673
p07,growth,07,2X,A10,Hannah,243,295.9751757,19.6765638,9.8382819,8296.131072332897,5616.6407046481545
